park_name,postcode,website,staticcaravanparks_url,telephone,no_pitches,pitch_fees,season_pitches_box_found,data_source,county,town,region,region_fallback_used,status,chain
Madryn Castle Caravan Park,LL53 8UE,https://www.madryncastle.com,https://www.staticcaravanparks.co.uk/parks/wales/madryn-castle-caravan-park,01758 720 593,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Gwynedd,Tudweiliog,North Wales,no,no sales found,
Maenan Abbey Caravan Park,LL26 0UL,https://www.thornleyleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/maenan-abbey-caravan-park,01492 660 630,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Conwy,Llanddoged and Maenan,North Wales,yes,listings not scraped,Thornley Leisure
Maes Glas Caravan Park,SA44 6QE,https://www.maesglascaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/maes-glas-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Ceredigion,Penbryn,South Wales,no,no sales found,
Maesdolau Farm Caravan Park,LL30 1SR,https://www.maesdolaucaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/maesdolau-farm-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Conwy,Conwy,North Wales,no,enquire,
Marianglas Caravan Park,LL73 8PH,https://www.brynawelcaravans.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/marianglas-caravan-park,01248 450 801,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Isle of Anglesey,Llaneugrad,North Wales,no,enquire,Brynawel Caravans
Marine Holiday Park,LL18 2HG,http://www.marineholidaypark.com,https://www.staticcaravanparks.co.uk/parks/wales/marine-holiday-park,01745 345194,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Denbighshire,Rhyl,North Wales,no,listings not scraped,
Marton Pool Holiday Home Park,SY21 8JY,https://www.martonpool.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/marton-pool-holiday-home-park,01743 891 306,,,,master_parks_working.csv (Confirmed - for sale content found),Shropshire,Chirbury with Brompton,Central England,no,listings not scraped,
Mellington Hall Caravan Park,SY15 6HX,https://www.mellingtonhall.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/mellington-hall-caravan-park,01588 620 011,,,,master_parks_working.csv (Confirmed - for sale content found),Powys,Churchstoke,North Wales,no,enquire,
Midfield Holiday and Residential Park,SY23 4DX,http://www.midfield.wales,https://www.staticcaravanparks.co.uk/parks/wales/midfield-holiday-and-residential-park,01970 612 542,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Ceredigion,Aberystwyth,South Wales,no,no sales found,
Millers Cottage Caravan Park,LL22 9HS,https://www.lloydscaravans.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/millers-cottage-caravan-park,,,,,master_parks_working.csv (Confirmed - for sale content found),Conwy,Kinmel Bay and Towyn,North Wales,yes,listings not scraped,Lloyds Caravans
Minafon Caravan Park,SY10 0EX,https://www.minafoncaravanpark.com,https://www.staticcaravanparks.co.uk/parks/wales/minafon-caravan-park,01691 860 304,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Powys,Llangynog,North Wales,no,listings not scraped,
Minffordd Caravan Park,LL70 9HJ,https://www.minfforddcaravanpark.com,https://www.staticcaravanparks.co.uk/parks/wales/minffordd-caravan-park,01248 410 555,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Isle of Anglesey,Moelfre,North Wales,no,no sales found,
MinYDon Caravan Park,LL46 2UG,https://www.minydonholidayhomepark.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/minydon-caravan-park,01766 780 286,,,,master_parks_working.csv (Confirmed - multi-park operator),Gwynedd,Harlech,North Wales,no,listings not scraped,
Morben Isaf Holiday Park,SY20 8SR,https://www.morbenisaf.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/morben-isaf-holiday-park,01654 781 473,,,,master_parks_working.csv (Confirmed - multi-park operator),Powys,Cadfarch,North Wales,no,blocked,
Morfa Bychan Holiday Park,SY23 4QQ,https://www.hillandale.co.uk/our-parks/morfa-bychan-holiday-park,https://www.staticcaravanparks.co.uk/parks/wales/morfa-bychan-holiday-park,01970 617 254,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Ceredigion,Llanfarian,South Wales,no,listings not scraped,Hillandale
Morgans Lodge Caravan Park,SA68 0RN,https://www.morganslodge.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/morgans-lodge-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Pembrokeshire,East Williamston,South Wales,no,enquire,
Mornest Caravan Park,LL60 6HU,http://www.mornestcaravanpark.com,https://www.staticcaravanparks.co.uk/parks/wales/mornest-caravan-park,01246 421725,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Isle of Anglesey,Llanfihangel Ysgeifiog,North Wales,no,blocked,
Mynydd Caravan Park,LL52 0PS,https://www.penisarmynydd.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/mynydd-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Gwynedd,Criccieth,North Wales,no,no sales found,
Neuadd Bridge Caravan Park,SY21 0HX,https://www.nbcp.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/neuadd-bridge-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Powys,Llanfair Caereinion,North Wales,no,listings not scraped,
New Park Farm and Caravan Park,SA67 8BG,https://www.newparklandshipping.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/new-park-farm-and-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Pembrokeshire,Martletwy,South Wales,no,blocked,
Newport Bay Caravan Parklands,SA42 0RH,https://www.matthewbakercaravans.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/newport-bay-caravan-parklands,01348 811 220,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Pembrokeshire,Newport,South Wales,yes,listings not scraped,Matthew Baker Caravans
Nolton Cross Caravan Park,SA62 3NP,https://www.noltoncross-holidays.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/nolton-cross-caravan-park,01437 710 701,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Pembrokeshire,Nolton and Roch,South Wales,no,no sales found,
Oakwood Valley Lodges,SY21 0HX,https://www.oakwoodvalleylodges.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/oakwood-valley-lodges,01938 810 245,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Powys,Llanfair Caereinion,North Wales,no,enquire,
Owens Caravan Park,LL22 9ES,https://www.owenscaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/owens-caravan-park,01745353639,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Conwy,Kinmel Bay and Towyn,North Wales,yes,enquire,
Pale Wood Country Park,LL23 7RA,https://www.palewood.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/pale-wood-country-park,07770 436 322,,,,master_parks_working.csv (Confirmed - for sale content found),Gwynedd,Llandderfel,North Wales,no,listings not scraped,
Pant Gwyn Farm Caravan Park,LL53 7ET,https://www.pantgwynfarm.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/pant-gwyn-farm-caravan-park,01758 812 200,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Gwynedd,Llanengan,North Wales,no,blocked,
Pant Y Branner,LL53 7DY,https://www.pant-y-brannerpark.wales/,https://www.staticcaravanparks.co.uk/parks/wales/pant-y-branner,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Gwynedd,Llanengan,North Wales,no,no sales found,
PantYSaer Caravan Park,LL74 8SD,https://www.pantysaer.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/pantysaer-caravan-park,01248852423,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Isle of Anglesey,Llanfair-Mathafarn-Eithaf,North Wales,no,no sales found,
Parc Cynhinfa Caravan Park,SY22 6JP,https://www.parccynhinfacaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/parc-cynhinfa-caravan-park,01938 810 270,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Powys,Llangyniew,North Wales,no,enquire,
Parc Farm Caravan Park,CH7 4QW,https://www.valeholidayparks.com,https://www.staticcaravanparks.co.uk/parks/wales/parc-farm-caravan-park,01824 780 666,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Denbighshire,Llanarmon-yn-Ial,North Wales,no,enquire,Vale Holiday Parks
Parc Wernol Caravan and Chalet Park,LL53 6SW,https://www.wernol.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/parc-wernol-caravan-and-chalet-park,01766 810506,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Gwynedd,Llanystumdwy,North Wales,no,no sales found,
Pen Y Graig Caravan Park,SY24 5NR,http://penygraigcaravanpark.co.uk/,https://www.staticcaravanparks.co.uk/parks/wales/pen-y-graig-caravan-park,01970 871 717,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Ceredigion,Borth,North Wales,no,no sales found,
Pencnwc Holiday Park,SA44 6NL,https://www.pencnwc.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/pencnwc-holiday-park,01545 560479,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Ceredigion,Llanllwchaiarn,South Wales,no,listings,
Penddol Holiday Park,SY17 5JP,https://www.penddolcaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/penddol-holiday-park,01686 420 259,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Powys,Carno,North Wales,no,blocked,
Pengarreg Caravan and Camping Park,SY23 5DJ,https://www.pengarregcaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/pengarreg-caravan-and-camping-park,01974 202247,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Ceredigion,Llanrhystyd,South Wales,no,enquire,
Penrhos Park Lodges,SY22 6JH,https://www.penrhosparklodges.com/,https://www.staticcaravanparks.co.uk/parks/wales/penrhos-park-lodges,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Powys,Llangyniew,North Wales,no,blocked,
Penrhyn Bay Caravan Park,LL65 4YG,https://www.penrhynbay.com,https://www.staticcaravanparks.co.uk/parks/wales/penrhyn-bay-caravan-park,01407 730496,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Isle of Anglesey,Llanfaethlu,North Wales,yes,no sales found,
Pensieri Caravan Park,LL63 5TB,https://www.pensieri.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/pensieri-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Isle of Anglesey,Llanfaelog,North Wales,no,blocked,
Pentre Mawr Caravan Park,LL22 7RE,https://www.lloydscaravans.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/pentre-mawr-caravan-park,,,,,master_parks_working.csv (Confirmed - for sale content found),Conwy,Abergele,North Wales,no,listings,Lloyds Caravans
PenyPentre Caravan Park,SY21 0JT,https://www.lloydscaravans.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/penypentre-caravan-park,,,,,master_parks_working.csv (Confirmed - for sale content found),Powys,Llangyniew,North Wales,no,listings not scraped,Lloyds Caravans
Plas Coch Caravan and Leisure Park,LL61 6EJ,https://www.parkleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/plas-coch-caravan-and-leisure-park,01248 714 272,,,,"master_parks_working.csv (Confirmed - multi-park operator (new, not yet in scraper))",Isle of Anglesey,Llanddaniel Fab,North Wales,yes,listings,Park Leisure
Plas Gwyn Caravan and Camping Park,LL55 2AQ,https://www.plasgwyn.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/plas-gwyn-caravan-and-camping-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Gwynedd,Llanrug,North Wales,no,no sales found,
Plas Newydd Caravan Park,LL19 8BE,http://www.plasnewyddonline.co.uk/,https://www.staticcaravanparks.co.uk/parks/wales/plas-newydd-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Denbighshire,Prestatyn,North Wales,no,blocked,
Pleasant View Holiday Park,LL18 5RL,https://www.pleasantviewholidaypark.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/pleasant-view-holiday-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Denbighshire,Rhuddlan,North Wales,no,enquire,
Plymouth Farm Caravan Park,LL52 0PS,https://www.meldrumleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/plymouth-farm-caravan-park,01766 522 327,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Gwynedd,Criccieth,North Wales,no,enquire,Meldrum Leisure
Point Lynas Caravan Park,LL68 9LT,https://www.pointlynas.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/point-lynas-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Isle of Anglesey,Llaneilian,North Wales,no,enquire,
Porthclais Farm Campsite,SA62 6RR,https://porthclaiscampsite.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/porthclais-farm-campsite,01437 720 256,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Pembrokeshire,St. David's and the Cathedral Close,South Wales,no,no sales found,
Presteigne Holiday Park,LD8 2AZ,https://presteigneholidaypark.co.uk/,https://www.staticcaravanparks.co.uk/parks/wales/presteigne-holiday-park,01938 810575,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Powys,New Radnor,South Wales,no,enquire,
Pwll Coch Caravan Park,LL70 9HQ,https://www.pwllcochcaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/pwll-coch-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Isle of Anglesey,Moelfre,North Wales,no,enquire,
Redford Caravan Park,SA67 8TD,http://redfordcaravanpark.co.uk/,https://www.staticcaravanparks.co.uk/parks/wales/redford-caravan-park,01834 860251,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Pembrokeshire,Lampeter Velfrey,South Wales,no,enquire,
Rhandir Farm,LL53 7SF,https://www.rhandircaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/rhandir-farm,,,,,master_parks_working.csv (Website found - sale relevance unconfirmed),Gwynedd,Llanengan,North Wales,no,enquire,
Rhuallt Country Park,LL17 0AW,https://www.rhualltcountrypark.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/rhuallt-country-park,01745 583000,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Denbighshire,Tremeirchion,North Wales,no,enquire,
River Meadow Holiday Centre,SY21 0QG,https://www.rivermeadow.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/river-meadow-holiday-centre,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Powys,Llanfihangel,North Wales,no,enquire,
Riverbend Caravan Park,SY21 0PP,https://www.hillandale.co.uk/our-parks/riverbend-caravan-park,https://www.staticcaravanparks.co.uk/parks/wales/riverbend-caravan-park,01938 820 356,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Powys,Banwy,North Wales,no,listings not scraped,Hillandale
Riverside International,LD3 0HL,https://www.riversideinternational.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/riverside-international,01874711320,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Powys,Bronllys,South Wales,no,blocked,
Rosehill Caravan Park,SA62 3LU,https://rosehillcaravanpark.co.uk/,https://www.staticcaravanparks.co.uk/parks/wales/rosehill-caravan-park,01437 781 245,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Pembrokeshire,The Havens,South Wales,no,enquire,
Sandy Beach Caravan Park,LL65 4YH,http://www.sandybeachanglesey.co.uk/,https://www.staticcaravanparks.co.uk/parks/wales/sandy-beach-caravan-park,01407 730 302,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Isle of Anglesey,Llanfaethlu,North Wales,yes,enquire,
Sarnfaen Holiday Park,LL43 2AQ,https://www.sarnfaen.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/sarnfaen-holiday-park,01341 247 241,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Gwynedd,Dyffryn Ardudwy,North Wales,no,no sales found,
Searivers Caravan Park,SY24 5JZ,http://www.seariversleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/searivers-caravan-park,01970871399,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Ceredigion,Borth,North Wales,no,listings not scraped,Sea Rivers Leisure
Seven Springs,SY23 5LZ,https://www.luxurylodgegroup.com,https://www.staticcaravanparks.co.uk/parks/wales/seven-springs-lodge-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Ceredigion,Llansantffraed,South Wales,no,listings,
Shrublands Caravan Park,SA69 9HH,https://www.shrublandscaravanpark.com,https://www.staticcaravanparks.co.uk/parks/wales/shrublands-caravan-park,07813 330 228,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Pembrokeshire,Saundersfoot,South Wales,no,enquire,
Silver Birch Caravan Park,CH8 9JN,https://www.bancroftleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/silver-birch-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Flintshire,Llanasa,North Wales,no,enquire,Bancroft Leisure
Smithy Caravan Park,SY15 6ND,http://www.smithypark.co.uk/,https://www.staticcaravanparks.co.uk/parks/wales/smithy-caravan-park,01584 711280,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Powys,Abermule with Llandyssil,North Wales,no,enquire,
Sunrise Bay Holiday Park,SA33 5LP,https://www.sunrisebay.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/sunrise-bay-holiday-park,01267 241 394,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Carmarthenshire,Llansteffan,South Wales,yes,enquire,
Swallow Tree Gardens,SA69 9DE,http://www.swallowtree.com,https://www.staticcaravanparks.co.uk/parks/wales/swallow-tree-gardens,01834 812 398,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Pembrokeshire,St. Mary Out Liberty,South Wales,no,blocked,
Tan Y Bryn,LL31 9JZ,https://www.tanybrynfarm.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/tan-y-bryn,01492 546 307,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Conwy,Llandudno,North Wales,no,blocked,
Tan Y Don Caravan Park,LL19 7UT,https://www.bancroftleisure.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/tan-y-don-caravan-park,01745 853 749,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Denbighshire,Prestatyn,North Wales,yes,enquire,Bancroft Leisure
Tanat Caravan Park,SY22 6LH,https://www.tanatholidaypark.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/tanat-caravan-park,,,,,master_parks_working.csv (Website found - sale relevance unconfirmed),Powys,Carreghofa,Central England,no,no sales found,
The Warren,LL53 7AA,https://haulfrynholidays.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/the-warren,01758 714 100,,,,master_parks_working.csv (Confirmed - part of existing scraper coverage),Gwynedd,Llanengan,North Wales,no,listings not scraped,Haulfryn
Trefach Holiday Park,SA66 7RU,http://www.trefachholidaypark.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/trefach-holiday-park,01994 419 225,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Pembrokeshire,Mynachlog-Ddu,South Wales,no,listings,
Tudor Glen Caravan Park,SA70 7SS,https://www.tudorglencaravanpark.com,https://www.staticcaravanparks.co.uk/parks/wales/tudor-glen-caravan-park,01834871417,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Pembrokeshire,Manorbier,South Wales,no,no sales found,
Ty Canol Caravan Park,LL20 7UL,http://www.tycanolcaravanpark.com,https://www.staticcaravanparks.co.uk/parks/wales/ty-canol-caravan-park,01978 861 297,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Denbighshire,Llangollen,North Wales,no,enquire,
Ty Craig Holiday Park,SY20 8PU,https://www.tycraigcaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/ty-craig-holiday-park,01970 832 339,,,,master_parks_working.csv (Confirmed - for sale content found),Ceredigion,Llangynfelyn,North Wales,no,listings,
Ty Gwyn Caravan and Camping Park,SA43 1QH,https://www.tygwynpark.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/ty-gwyn-caravan-and-camping-park,,,,,master_parks_working.csv (Confirmed - for sale content found),Ceredigion,Y Ferwig,South Wales,no,listings not scraped,
Ty Newydd Caravan Park,LL53 7LE,https://www.ty-newydd-abersoch.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/ty-newydd-caravan-park,01758 712 752,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Gwynedd,Llanengan,North Wales,no,blocked,
Ty Newydd Leisure Park,LL76 8TZ,https://www.tynewydd.com,https://www.staticcaravanparks.co.uk/parks/wales/ty-newydd-leisure-park,01248 450 677,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Isle of Anglesey,Llanfair-Mathafarn-Eithaf,North Wales,no,no sales found,
Tyddyn Llan,LL34 6TN,http://www.tyddynllancaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/tyddyn-llan,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Conwy,Penmaenmawr,North Wales,no,enquire,
Tyddyn Llwyn Caravan Park,LL49 9UR,https://www.tyddynllwyn.com,https://www.staticcaravanparks.co.uk/parks/wales/tyddyn-llwyn-caravan-park,01766 752 205,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Gwynedd,Porthmadog,North Wales,yes,enquire,
Tyn Towyn Caravan Park,LL65 2YS,https://www.caravan-park-anglesey.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/tyn-towyn-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Isle of Anglesey,Trearddur,North Wales,no,enquire,Caravan Park Anglesey
Tyn Y Cae Caravan Park,LL53 6LL,https://www.llyncaravans.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/tyn-y-cae-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Gwynedd,Nefyn,North Wales,no,blocked,
TynyCoed,LL55 2AQ,http://www.tynycoedcaravanparkllanrug.wales/,https://www.staticcaravanparks.co.uk/parks/wales/tynycoed,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Gwynedd,Llanrug,North Wales,no,enquire,
Valley View Holiday Park,SY21 9DL,http://www.brightwaterlakes.co.uk/home.html,https://www.staticcaravanparks.co.uk/parks/wales/valley-view-holiday-park,01938 500265,,,,master_parks_working.csv (Found (in original directory)),Powys,Meifod,North Wales,no,enquire,
Waen Farm Caravan Park,LL68 0RG,https://www.waenfarm.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/waen-farm-caravan-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Isle of Anglesey,Mechell,North Wales,no,blocked,
Warren Parc,SY20 8NN,https://www.warrenparc.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/warren-parc,01654 702 054,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Powys,Cadfarch,North Wales,no,enquire,
Well Park Caravans,SA70 8TL,https://www.wellparkcaravans.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/well-park-caravans,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Pembrokeshire,St. Mary Out Liberty,South Wales,no,enquire,
West Point Beach Resort,LL54 5EH,http://www.westpointresort.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/west-point-beach-resort,01286 660400,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Gwynedd,Clynnog,North Wales,no,blocked,
Woodland Hideaway,SA44 6PP,https://www.woodlandhideawaypark.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/woodland-hideaway,01239 851333,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Ceredigion,Penbryn,South Wales,no,enquire,
Woodlands Holiday Park,LL36 9UH,http://www.woodlandsholidayparkllanon.co.uk/index.html,https://www.staticcaravanparks.co.uk/parks/wales/woodlands-holiday-park,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Gwynedd,Bryn-crug,North Wales,no,enquire,
Ysgboriau Tywyn Caravan Park,LL36 9RY,http://www.ysguboriaucaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/ysgboriau-tywyn-caravan-park,01654 712 287,,,,master_parks_working.csv (Found (in original directory)),Gwynedd,Bryn-crug,North Wales,no,enquire,
Gower Holiday Village,SA3 1AY,https://www.gowerholidayvillage.co.uk,https://www.staticcaravanparks.co.uk/parks/wales/gower-holiday-village,01792 390 431,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Swansea,Port Eynon,South Wales,no,blocked,
Peniarth Caravan Park,LL36 9UD,https://www.peniarth.com,https://www.staticcaravanparks.co.uk/parks/wales/peniarth-caravan-park,01654710101,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Gwynedd,Llanegryn,North Wales,no,no sales found,
Island Meadow Caravan Park,B95 6JP,https://www.islandmeadowcaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/warwickshire/island-meadow-caravan-park,01789 488 273,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Warwickshire,Aston Cantlow,Central England,no,no sales found,
Rayford Caravan Park,CV37 6BE,https://www.stratfordparks.co.uk,https://www.staticcaravanparks.co.uk/parks/warwickshire/rayford-caravan-park,01789 293 438,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Warwickshire,Stratford-upon-Avon,Central England,no,blocked,Stratford Parks
Welford Park,CV37 9EY,https://www.smithparkhomes.co.uk,https://www.staticcaravanparks.co.uk/parks/warwickshire/welford-park,01789 570 649,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Warwickshire,Stratford-upon-Avon,Central England,no,enquire,
Wixford Grange,B49 6DG,http://www.wixfordgrange.com,https://www.staticcaravanparks.co.uk/parks/warwickshire/wixford-grange,,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Warwickshire,Wixford,Central England,no,blocked,
Acre Farm Caravan Park,DY14 9DS,http://www.acrefarmcaravans.co.uk/,https://www.staticcaravanparks.co.uk/parks/worcestershire/acre-farm-caravan-park,01299 266 458,,,,master_parks_working.csv (Found (in original directory)),Shropshire,Cleobury Mortimer,Central England,no,enquire,
Austcliffe Holiday Homes Park,DY10 3UR,http://www.austcliffeparkhomes.co.uk/,https://www.staticcaravanparks.co.uk/parks/worcestershire/austcliffe-holiday-homes-park,01562 851277,,,,master_parks_working.csv (Found (in original directory)),Worcestershire,Wolverley and Cookley,Central England,no,blocked,
Blakehouse Farm Caravan Park,WR15 8NS,http://www.blakehousefarmcaravanpark.com/?page_id,https://www.staticcaravanparks.co.uk/parks/worcestershire/blakehouse-farm-caravan-park,01584 881 313,,,,master_parks_working.csv (Found (in original directory)),Worcestershire,Eastham,Central England,no,enquire,
Butt Town Caravan Park,DY12 1AN,http://www.butt-town.com,https://www.staticcaravanparks.co.uk/parks/worcestershire/butt-town-caravan-park,07944 533751,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Worcestershire,Bewdley,Central England,no,enquire,
Caldicotts Caravan Park,WR6 6TD,http://www.caldicottscaravanpark.co.uk/#/contact-us/4552311498,https://www.staticcaravanparks.co.uk/parks/worcestershire/caldicotts-caravan-park,01905 621042,,,,master_parks_working.csv (Found (in original directory)),Worcestershire,Shrawley,Central England,no,enquire,
Coppice Leisure Park,WR6 6YP,https://www.hillandale.co.uk/our-parks/coppice-leisure-park,https://www.staticcaravanparks.co.uk/parks/worcestershire/coppice-leisure-park,01886 888 305,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Worcestershire,Holt,Central England,no,listings not scraped,Hillandale
KnightonOnTeme Caravan Park,WR15 8NA,https://www.kotcaravanpark.co.uk,https://www.staticcaravanparks.co.uk/parks/worcestershire/knightononteme-caravan-park,01584 781 246,,,,master_parks_working.csv (Confirmed - ukparks.com directory),Worcestershire,Knighton on Teme,Central England,no,listings not scraped,
